event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date,is_major,latitude,longitude
711,Principal Charity Classic,"June 4 - 6, 2010",1725000.0,Glen Oaks CC,6879.0,71.0,,2010-06-04,2010-06-06,0.0,34.4430807,-112.5485052
712,Dick's Sporting Goods Open,"June 25 - 27, 2010",1700000.0,"Endicott, NY",6974.0,72.0,En Joie GC,2010-06-25,2010-06-27,0.0,42.098408,-76.0493684
713,The Senior Open Championship Pres. by MasterCard,"July 22 - 25, 2010",2000000.0,"Carnoustie, Scotland",7421.0,71.0,Carnoustie Golf Links,2010-07-22,2010-07-25,0.0,56.5010506,-2.711403
714,U.S. Senior Open Championship,"Jul 29 - August 1, 2010",2600000.0,"Sammamish, WA",6866.0,70.0,Sahalee Country Club,2010-07-29,2010-08-01,,47.6017554,-122.0416844
715,3M Championship,"August 6 - 8, 2010",1750000.0,"Blaine, MN",7100.0,72.0,TPC of the Twin Cities,2010-08-06,2010-08-08,0.0,45.1607987,-93.2349489
716,JELD-WEN Tradition,"August 19 - 22, 2010",2600000.0,Crosswater Club at Sunriver Resort,7683.0,72.0,,2010-08-19,2010-08-22,0.0,,
717,Boeing Classic,"August 27 - 29, 2010",1900000.0,"Snoqualmie, WA",7264.0,72.0,The Club at Snoqualmie Ridge,2010-08-27,2010-08-29,0.0,47.5289527,-121.827093
718,Home Care & Hospice First Tee Open,"September 3 - 5, 2010",2100000.0,,7040.0,71.0,,2010-09-03,2010-09-05,0.0,,
719,Posco E&C Songdo Championship,"September 10 - 12, 2010",3000000.0,"Incheon, South Korea",7087.0,72.0,Jack Nicklaus Golf Club Korea,2010-09-10,2010-09-12,0.0,37.456,126.7052
720,SAS Championship,"September 24 - 26, 2010",2100000.0,"Cary, NC",7137.0,72.0,Prestonwood CC,2010-09-24,2010-09-26,0.0,35.7882893,-78.7812081
721,Ensure Classic at Rock Barn,"October 1 - 3, 2010",1750000.0,"Conover, NC",7046.0,72.0,Rock Barn Golf & Spa,2010-10-01,2010-10-03,0.0,35.7065004,-81.2184383
722,Constellation Energy Senior Players Championship,"October 7 - 10, 2010",2700000.0,"Potomac, MD",7124.0,70.0,TPC Potomac at Avenel Farm,2010-10-07,2010-10-10,0.0,39.0180508,-77.1956331355745
723,Administaff Small Business Classic,"October 22 - 24, 2010",1700000.0,"The Woodlands, TX",7018.0,72.0,The Woodlands CC,2010-10-22,2010-10-24,0.0,30.1734194,-95.504686
724,AT&T Championship,"October 29 - 31, 2010",1750000.0,"San Antonio, TX",6735.0,71.0,Oak Hills CC,2010-10-29,2010-10-31,0.0,29.4246002,-98.4951405
725,Charles Schwab Cup Championship,"November 4 - 7, 2010",2500000.0,"San Francisco, CA",7137.0,71.0,TPC Harding Park,2010-11-04,2010-11-07,0.0,37.7792588,-122.4193286
726,Outback Steakhouse Pro-Am,"April 16 - 18, 2010",1700000.0,TPC of Tampa Bay,6828.0,71.0,,2010-04-16,2010-04-18,0.0,,
727,Abu Dhabi Golf Championship,"January 21 - 24, 2010",,Abu Dhabi CC,7510.0,72.0,,2010-01-21,2010-01-24,0.0,24.4538352,54.3774014
728,Commercial Bank Qatar Masters presented by Dolphin,"January 28 - 31, 2010",,Doha GC,7388.0,72.0,,2010-01-28,2010-01-31,,25.2856329,51.5264162
729,Omega Dubai Desert Classic,"February 4 - 7, 2010",,Emirates Golf Club (Majlis Course),6412.0,72.0,,2010-02-04,2010-02-07,0.0,,
730,Maybank Malaysian Open,"March 4 - 7, 2010",,"Saint Simons Island, GA",7000.0,72.0,Sea Island Resort (Seaside Course),2010-03-04,2010-03-07,0.0,31.2182863,-81.3612077
732,Open de Andalucia de Golf,"March 25 - 28, 2010",,Parador de Malaga,6817.0,70.0,,2010-03-25,2010-03-28,0.0,36.6543899,-4.472534460930877
733,Estoril Open de Portugal,"June 10 - 13, 2010",,Kuala Lumpur,6904.0,72.0,The MINES Resort & Golf Club,2010-06-10,2010-06-13,0.0,3.1516964,101.6942371
734,Madeira Islands Open BPI,"April 8 - 11, 2010",,Porto Santo Golfe,7047.0,72.0,,2010-04-08,2010-04-11,0.0,33.0520457,-16.36869798568175
735,Avantha Masters,"February 11 - 14, 2010",,DLF Golf and Country Club,7156.0,72.0,,2010-02-11,2010-02-14,,28.45860515,77.11189687587904
736,Ballantine's Championship,"April 22 - 25, 2010",,Pinx GC,7345.0,72.0,,2010-04-22,2010-04-25,0.0,33.3116101,126.38827573879418
737,Volvo China Open,"April 15 - 18, 2010",,Suzhou Taihu International Golf club,7326.0,72.0,,2010-04-15,2010-04-18,0.0,31.221764999999998,120.39590846946105
738,Open de Espana,"Apr 29 - May 2, 2010",,Sevilla,7140.0,72.0,Real Club de Golf de Sevilla,2010-04-29,2010-05-02,0.0,37.3886303,-5.9953403
739,BMW Italian Open,"May 6 - 9, 2010",,Royal Park I Roveri,7282.0,72.0,,2010-05-06,2010-05-09,0.0,,
740,Open Cala Millor Mallorca,"May 13 - 16, 2010",,"San Martin, CA",6808.0,70.0,CordeValle Golf Club,2010-05-13,2010-05-16,0.0,37.0849464,-121.6102216
741,BMW PGA CHAMPIONSHIP,"May 20 - 23, 2010",,Wentworth GC,7261.0,71.0,,2010-05-20,2010-05-23,,43.8724198,-71.9130828
