City,base_url,is_golf_club
Oceanico Victoria Clube de Golfe,,True
Club de Campo del Mediterraneo,,True
Sentosa Golf Club,,True
" Shanghai, China",https://www.wunderground.com/history/daily/ZSSS/date/2024-10-26,False
Hong Kong GC,,True
Earth Course,,True
Ocean Course,,True
Leopard Creek GC,,True
Pearl Valley,https://www.wunderground.com/history/daily/KJFK/date/2024-10-26,False
East London Golf Club,,True
Kingston Heath Golf Club,,True
The Quarry Golf Course,,True
Colorado Golf Club,,True
" Carnoustie, Scotland",https://www.wunderground.com/history/daily/EGPN/date/2024-10-26,False
" Sammamish, WA",https://www.wunderground.com/history/daily/KSEA/date/2024-10-26,False
Abu Dhabi CC,,True
Doha GC,,True
Emirates Golf Club (Majlis Course),,True
" Saint Simons Island, GA",https://www.wunderground.com/history/daily/KBQK/date/2024-10-26,False
Parador de Malaga,https://www.wunderground.com/history/daily/LEMG/date/2024-10-26,False
 Kuala Lumpur,https://www.wunderground.com/history/daily/WMSA/date/2024-10-26,False
DLF Golf and Country Club,,True
Suzhou Taihu International Golf club,,True
" San Martin, CA",https://www.wunderground.com/history/daily/KSJC/date/2024-10-26,False
 Southampton,https://www.wunderground.com/history/daily/EGHI/date/2024-10-26,False
Diamond Country Club,,True
Bro Hoff Slott GC,,True
Killarney Golf & Fishing Club,,True
Hilversumsche,https://www.wunderground.com/history,False
Club de Golf Valderrama,,True
Jumeirah Golf Estates,,True
Blue Course,,True
" Etobicoke, Ontario",https://www.wunderground.com/history/daily/CYYZ/date/2024-10-26,False
" Newtown Square, PA",https://www.wunderground.com/history/daily/KPHL/date/2024-10-26,False
" White Sulphur Springs, WV",https://www.wunderground.com/history/daily/KLWB/date/2024-10-26,False
" Bogota, Colombia",https://www.wunderground.com/history/daily/SKBO/date/2024-10-26,False
" College Park, MD",https://www.wunderground.com/history/daily/KDCA/date/2024-10-26,False
" Canonsburg, PA",https://www.wunderground.com/history/daily/KPIT/date/2024-10-26,False
Dye's Valley Course,,True
" Newport, Wales",https://www.wunderground.com/history/daily/EGGD/date/2024-10-26,False
" Blainville, PQ",https://www.wunderground.com/history/daily/SAEZ/date/2024-10-26,False
" Johns Creek, GA",https://www.wunderground.com/history/daily/KATL/date/2024-10-26,False
Durban CC,,True
Royal Golf Club,,True
Emirates GC,,True
" Thousand Oaks, CA",https://www.wunderground.com/history/daily/KBUR/date/2024-10-26,False
Donnafugata Golf Resort & SPA,,True
" Sea Island, GA",https://www.wunderground.com/history/daily/KBQK/date/2024-10-26,False
Luxehills International Country ,https://www.wunderground.com/history/daily/KMDW/date/2024-10-26,False
Blackstone Golf Club,,True
Real Club de Golf El Prat,,True
Pula GC,,True
Castle Stuart Golf Links,,True
El Encin Golf Hotel,,True
Mission Hills Resort,https://www.wunderground.com/history,False
" Guanajuato, Mexico",https://www.wunderground.com/history/daily/MMLO/date/2024-10-26,False
" Biloxi, MS",https://www.wunderground.com/history/daily/KGPT/date/2024-10-26,False
" Birmingham, AL",https://www.wunderground.com/history/daily/KBHM/date/2024-10-26,False
" Toledo, OH",https://www.wunderground.com/history/daily/KTOL/date/2024-10-26,False
" Surrey, England",https://www.wunderground.com/history/daily/CYVR/date/2024-10-26,False
" Kent, England",https://www.wunderground.com/history/daily/KSEA/date/2024-10-26,False
Serengeti Golf Club,,True
" Black Rock, Australia",https://www.wunderground.com/history/daily/YPAG/date/2024-10-26,False
" Lancashire, England",https://www.wunderground.com/history/daily/KLIT/date/2024-10-26,False
The Links,https://www.wunderground.com/history/daily/SBML/date/2024-10-26,False
Aloha GC,,True
Golf du Palais,,True
Verdura Golf & Spa Resort,,True
Binhai Lake GC,,True
Royal Portrush GC,,True
Lake Karrinyup CC,,True
Lake Malaren Golf Club,,True
Mission Hills GC,,True
" Santiago, Chile",https://www.wunderground.com/history/daily/SCEL/date/2024-10-26,False
" Newburgh, IN",https://www.wunderground.com/history/daily/KEVV/date/2024-10-26,False
Turnberry,https://www.wunderground.com/history,False
" Naples, FL",https://www.wunderground.com/history/daily/KRSW/date/2024-10-26,False
" Benton Harbor, MI",https://www.wunderground.com/history/daily/KSBN/date/2024-10-26,False
Indianwood Golf & Country Club,,True
" Kapolei, HI",https://www.wunderground.com/history/daily/PHNL/date/2024-10-26,False
"Julie, PQ",https://www.wunderground.com/history/daily/SAEZ/date/2024-10-26,False
" Pittsburgh, PA",https://www.wunderground.com/history/daily/KPIT/date/2024-10-26,False
Royal Durban Golf Club,,True
Copperleaf Golf & Country Estate,,True
Jaypee Greens GC,,True
Parador de El Saler,https://www.wunderground.com/history/daily/LFMP/date/2024-10-26,False
Tseleevo Golf & Polo Club,,True
Celtic Manor G & CC,,True
Golf Club Torino La Mandria,,True
The Montgomerie Maxx Royal,https://www.wunderground.com/history/daily/KDET/date/2024-10-26,False
Carton House GC,,True
" Ardmore, PA",https://www.wunderground.com/history/daily/KPHL/date/2024-10-26,False
" Lake Forest, IL",https://www.wunderground.com/history/daily/KORD/date/2024-10-26,False
" Sao Paulo, Brazil",https://www.wunderground.com/history/daily/SBSP/date/2024-10-26,False
" Macomb, MI",https://www.wunderground.com/history/daily/KDET/date/2024-10-26,False
" Des Moines, IA",https://www.wunderground.com/history/daily/KDSM/date/2024-10-26,False
North Shore Country Club,,True
" Calgary, AB",https://www.wunderground.com/history/daily/CYYC/date/2024-10-26,False
Royal Canberra Golf Club,,True
" Chon Buri, Thailand",https://www.wunderground.com/history/daily/VTUQ/date/2024-10-26,False
" Singapore, Singapore",https://www.wunderground.com/history/daily/WSSS/date/2024-10-26,False
" Phoenix, AZ",https://www.wunderground.com/history/daily/KPHX/date/2024-10-26,False
" Rancho Mirage, CA",https://www.wunderground.com/history/daily/KPSP/date/2024-10-26,False
" Williamsburg, VA",https://www.wunderground.com/history/daily/KPHF/date/2024-10-26,False
"RTJ Golf Trail, Magnolia Grove's The Crossings",,True
