event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date
153,Sony Open in Hawaii,"January 15 - 18, 2004",4800000," Honolulu, HI",7044.0,70.0,Waialae Country Club,2004-01-15,2004-01-18
154,Nissan Open,"February 19 - 22, 2004",4800000," Pacific Palisades, CA",,71.0,Riviera Country Club,2004-02-19,2004-02-22
155,Ford Championship at Doral,"March 4 - 7, 2004",5000000," Doral, FL",,72.0,Trump National Doral Golf Course,2004-03-04,2004-03-07
156,The Honda Classic,"March 11 - 14, 2004",5000000," Palm Beach Gardens, FL",7416.0,72.0,The Country Club at Mirasol Sunrise,2004-03-11,2004-03-14
157,Bay Hill Invitational Presented by MasterCard,"March 18 - 21, 2004",5000000," Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2004-03-18,2004-03-21
158,HP Classic of New Orleans,"Apr 29 - May 2, 2004",5100000," New Orleans, LA",7078.0,72.0,English Turn,2004-04-29,2004-05-02
159,THE PLAYERS Championship,"March 25 - 28, 2004",8000000," Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2004-03-25,2004-03-28
160,BellSouth Classic,"April 1 - 4, 2004",4500000," Duluth, GA",7311.0,72.0,TPC Sugarloaf,2004-04-01,2004-04-04
161,Masters Tournament,"April 8 - 11, 2004",6000000," Augusta, GA",,72.0,Augusta National Golf Club,2004-04-08,2004-04-11
162,MCI Heritage,"April 15 - 18, 2004",4800000," Hilton Head Island, SC",,71.0,Harbour Town Golf Links,2004-04-15,2004-04-18
163,Chrysler Classic of Greensboro,"October 14 - 17, 2004",4600000," Greensboro, NC",7311.0,72.0,Forest Oaks,2004-10-14,2004-10-17
164,Shell Houston Open,"April 22 - 25, 2004",5000000,,,72.0,,2004-04-22,2004-04-25
165,EDS Byron Nelson Championship,"May 13 - 16, 2004",5800000,,6847.0,70.0,,2004-05-13,2004-05-16
166,Bank of America Colonial,"May 20 - 23, 2004",5300000," Fort Worth, TX",,70.0,Colonial Country Club,2004-05-20,2004-05-23
167,Booz Allen Classic,"June 24 - 27, 2004",4800000," Potomac, MD",7005.0,71.0,TPC Potomac at Avenel Farm,2004-06-24,2004-06-27
168,the Memorial Tournament,"June 3 - 6, 2004",5250000," Dublin, OH",,72.0,Muirfield Village Golf Club,2004-06-03,2004-06-06
169,Buick Classic,"June 10 - 13, 2004",5250000," Harrison, NY",6839.0,71.0,Westchester CC,2004-06-10,2004-06-13
170,U.S. Open Championship,"June 17 - 20, 2004",6250000,,,70.0,,2004-06-17,2004-06-20
171,FedEx St. Jude Classic,"May 27 - 30, 2004",4700000," Memphis, TN",,71.0,TPC Southwind,2004-05-27,2004-05-30
172,Buick Championship,"August 26 - 29, 2004",4200000," Cromwell, CT",,70.0,TPC River Highlands,2004-08-26,2004-08-29
173,Cialis Western Open,"July 1 - 4, 2004",4800000," Lemont, IL",,72.0,Cog Hill G&CC,2004-07-01,2004-07-04
174,British Open Championship,"July 15 - 18, 2004",7154642,,,71.0,,2004-07-15,2004-07-18
175,Southern Farm Bureau Classic,"Sep 30 - October 3, 2004",3000000," Madison, MS",,72.0,Annandale GC,2004-09-30,2004-10-03
176,Buick Open,"Jul 29 - August 1, 2004",4500000," Grand Blanc, MI",,72.0,Warwick Hills Golf & Country Club,2004-07-29,2004-08-01
177,PGA Championship,"August 12 - 15, 2004",6250000,,,72.0,,2004-08-12,2004-08-15
178,The INTERNATIONAL,"August 5 - 8, 2004",5000000," Castle Rock, CO",7619.0,72.0,Castle Pines,2004-08-05,2004-08-08
179,WGC-NEC Invitational,"August 19 - 22, 2004",7000000,,7360.0,70.0,,2004-08-19,2004-08-22
180,U.S. Bank Championship in Milwaukee,"July 22 - 25, 2004",3500000," Milwaukee, WI",,70.0,Brown Deer Park GC,2004-07-22,2004-07-25
181,Bell Canadian Open,"September 9 - 12, 2004",4500000," Oakville, ON",,71.0,Glen Abbey GC,2004-09-09,2004-09-12
